,CO_ANO,CO_MES,Nome_UF,Nome_Município,SH4,CO_PAIS,KG_LIQUIDO,VL_FOB,NO_PAIS
18350,1998,7,Alagoas,Maceió,801,249,48,292,Estados Unidos
18396,1998,3,Alagoas,Maceió,9998,990,3652,3223,Provisão de Navios e Aeronaves
18400,1998,12,Alagoas,Pilar,9998,628,80760,13689,Reino Unido
18638,1998,2,Alagoas,São Miguel dos Campos,4819,63,3650,3000,Argentina
18648,1998,9,Alagoas,Maceió,306,249,8172,173400,Estados Unidos
18816,1998,7,Alagoas,São José da Laje,1701,249,2743230,1186622,Estados Unidos
18854,1998,8,Alagoas,Maceió,2007,249,296,720,Estados Unidos
18903,1998,3,Alagoas,Lagoa da Canoa,2401,345,17599,70396,Honduras
19032,1998,10,Alagoas,Marechal Deodoro,3923,63,9168,25362,Argentina
19119,1998,10,Alagoas,Marechal Deodoro,3920,845,8166,20170,Uruguai
19146,1998,6,Alagoas,Maceió,306,249,8172,233580,Estados Unidos
19166,1998,7,Alagoas,Marechal Deodoro,3923,63,3564,9801,Argentina
19217,1998,7,Alagoas,Arapiraca,2401,275,584492,1076861,França
19218,1998,7,Alagoas,São Luís do Quitunde,1201,573,6906000,1500053,Países Baixos (Holanda)
19231,1998,7,Alagoas,Matriz de Camaragibe,1701,249,1220680,524167,Estados Unidos
19279,1998,4,Alagoas,Maceió,1701,676,14000000,2870420,Rússia
19291,1998,4,Alagoas,Marechal Deodoro,3904,63,125000,73313,Argentina
19456,1998,5,Alagoas,Maceió,1701,676,11000000,2594851,Rússia
19511,1998,5,Alagoas,Maceió,1701,455,14000000,3626560,Malásia
19526,1998,5,Alagoas,Maceió,2903,399,9251682,1030730,Japão
19669,1998,8,Alagoas,Maceió,2009,249,528,1810,Estados Unidos
19726,1998,1,Alagoas,Maceió,1701,607,12400000,4939788,Portugal
19822,1998,8,Alagoas,Maceió,2009,158,576,1560,Chile
19889,1998,8,Alagoas,Maceió,7602,249,52100,44830,Estados Unidos
19981,1998,9,Alagoas,Arapiraca,2401,245,75897,150276,Espanha
19984,1998,7,Alagoas,Pilar,9998,628,12602,2338,Reino Unido
20040,1998,7,Alagoas,Maceió,306,249,8172,238830,Estados Unidos
20068,1998,4,Alagoas,Maceió,2903,161,8017897,657468,Taiwan (Formosa)
20127,1998,6,Alagoas,Arapiraca,2401,249,137605,412815,Estados Unidos
20179,1998,2,Alagoas,Maceió,9998,990,3688,5394,Provisão de Navios e Aeronaves
20357,1998,1,Alagoas,São José da Laje,1701,249,2248510,966589,Estados Unidos
20364,1998,3,Alagoas,Maceió,1701,676,42000000,10092925,Rússia
20373,1998,7,Alagoas,Marechal Deodoro,3904,845,1671000,1082555,Uruguai
20487,1998,1,Alagoas,São José da Laje,1701,676,2200000,580074,Rússia
20695,1998,7,Alagoas,Lagoa da Canoa,2401,245,7826,78260,Espanha
20704,1998,6,Alagoas,Maceió,3305,399,72,529,Japão
20797,1998,10,Alagoas,Maceió,3305,399,146,1230,Japão
20903,1998,1,Alagoas,Maceió,1701,240,14000000,4149600,Egito
20969,1998,10,Alagoas,Maceió,3303,399,1355,16792,Japão
21007,1998,9,Alagoas,Marechal Deodoro,3923,337,2495,5532,Guiana
